title,description,Floor,Use,Space Type,Rent/SF/yr,Suite Notes,Build Out,Condition,Occupancy,Listing Contact,Term,Suite,Type,Submarket,City,St,County,Company Description,Location Description,Co-Working,,Private Office,,Team Room,,Conference Room,,Entire Floor / Space
"iLoftSpace WorkPlaces, LLC",256-258 W 36th St,P 3,Office,Sublet,Withheld,"$350 - $1,450/ mo Ou…",,,Vacant,Philip R Weiss (646) 569-3190 ,Negotiable,,Office,Penn Plaza/Garment,New York,NY,Manhattan,"<p><strong>iLoftSpace</strong></p>
  <p>iLofotSpace is an office suite provider dedicated to providing startups  and small businesses with affordable office space solutions in New York City.  The iLoftSpace team is always striving to create coworking office spaces that  provide the right blend of convenience, flexibility, and technology at a price  that won&rsquo;t break the bank. Establishing your business in an iLoftSpace office  means joining a community of innovators. There are network events held on a  monthly basis, informal breakfasts, and lunches to heighten your office  experience. Open-area workstations and private offices are available for rent  on a month-by-month basis. iLoftSpace offices also include lounges, conference  rooms, and kitchenettes. Additionally, phone, internet, and fax/copy services  are available.</p>
  <p>iLoftSpace has two convenient NYC locations:</p>
  <ul>
    <li>256-258 W 36th  St  Midtwon South, West Side </li>
    <li>192 Lexington Ave  Midtown South, East Side</li>
</ul>","<p><u>256-258 West 36th Street</u></p>
  <p>iLoftSpace at 256-258 W 36th is located in Midtown  and is just steps away from Penn Station. The office feels tailored and clean  thanks to bright white walls and modern furnishings. iLoftSpace offers private,  lockable offices which can accommodate up to five people, along with kitchens  and sleek meeting rooms.</p>
  <p>Situated  between 7th and 8th Ave, this office is extremely  convenient for commuters. The office is within a 5-minute walk from Penn  Station, meaning there is easy access via subway (lines A, E, 1,2, and 3) and  via LIRR. iLoftSpace occupies the 3rd and 4th floor of 256-258 W 36th St.</p>
  <p>The  office is in close proximity to many cafes, restaurants, and bars such as  Juniper Bar, The Pennsy Food Hall, Black Iron Burger, and many more.  Additionally, there are many retail stores and hotels within a short walking  distance of the office. </p>
  <p>At  256-258 W 36th St, clients can  choose to rent either dedicated desk space or a private office. Dedicated desks are in  open-area workspaces and are separated by frosted glass dividers. Desks also  come with a personal, lockable filing cabinet. Private offices are enclosed in  glass and can seat several. The iLoftSpace office also has lounges, conference  rooms, and a kitchenette. </p>
  <p>Features</p>
  <ul>
    <li>Private offices</li>
    <li>Open workspaces</li>
    <li>Dedicated desks</li>
    <li>Lounges</li>
    <li>Conference rooms </li>
    <li>Kitchenette</li>
    <li>Phones </li>
    <li>Internet</li>
    <li>Copy/fax services </li>
    <li>Networking events</li>
  </ul>",,,,,,,,,
"iLoftSpace WorkPlaces, LLC",192 Lexington Ave,P 14,Office,Sublet,Withheld,"$400 - $1,650/ mo O…",,,Arranged,Philip R Weiss (646) 569-3190 ,Negotiable,,Office,Murray Hill,New York,NY,Manhattan,"<p><strong>iLoftSpace</strong></p>
  <p>iLofotSpace is an office suite provider dedicated to providing startups  and small businesses with affordable office space solutions in New York City.  The iLoftSpace team is always striving to create coworking office spaces that  provide the right blend of convenience, flexibility, and technology at a price  that won&rsquo;t break the bank. Establishing your business in an iLoftSpace office  means joining a community of innovators. There are network events held on a  monthly basis, informal breakfasts, and lunches to heighten your office  experience. Open-area workstations and private offices are available for rent  on a month-by-month basis. iLoftSpace offices also include lounges, conference  rooms, and kitchenettes. Additionally, phone, internet, and fax/copy services  are available.</p>
  <p>iLoftSpace has two convenient NYC locations:</p>
  <ul>
    <li>256-258 W 36th  St  Midtwon South, West Side </li>
    <li>192 Lexington Ave  Midtown South, East Side</li>
</ul>","<p><u>192 Lexington Ave</u></p>
  <p>iLoftSpace at 192 Lexington Avenue is located in Midtown South at 32nd Street. The  office feels tailored and clean thanks to bright white walls and modern  furnishings. iLoftSpace  offers private, lockable offices which can accommodate up to five people, along  with kitchens and sleek meeting rooms.</p>
  <p>This  office is just one subway stop (33rd Street ) away from Grand  Central Terminal, meaning commuters have easy access to the office via  MetroNorth and the 4,5,6,7, and S lines. iLoftSpace occupies the 14th floor  of 192 Lexington Avenue.</p>
  <p>The  office is in close proximity to many cafes, restaurants, and bars such as  Middle Branch, Tavern29, Lallisse, Marcony, and many more. Additionally, there  are many retail stores and hotels within a short walking distance of the  office. </p>
  <p>At  192 Lexington Ave, clients can choose to rent either dedicated desk space or a  private office. Dedicated  desks are in open-area workspaces and are separated by frosted glass dividers.  Desks also come with a personal, lockable filing cabinet. Private offices are  enclosed in glass and can seat several. The iLoftSpace office also has lounges,  conference rooms, and a kitchenette. </p>
  <p>Features</p>
  <ul>
    <li>Private offices</li>
    <li>Open workspaces</li>
    <li>Dedicated desks</li>
    <li>Lounges</li>
    <li>Conference rooms </li>
    <li>Kitchenette</li>
    <li>Phones </li>
    <li>Internet</li>
    <li>Copy/fax services </li>
    <li>Networking events</li>
  </ul>",,,,,,,,,
"Jay Suites, Inc.",30 Broad St,P 14,Office,Sublet,54.00/mg,Private offices from $8…,Partial Build-Out,,Vacant,Juda Srour (917) 510-7155 ,Negotiable,,Office,Financial District,New York,NY,Manhattan,"<p><strong>Jay Suites, Inc.</strong></p>
  <p>Jay Suites is a  pioneer of the office space rental market, providingtheir clients with fully-furnished, luxury office  rentals with shared amenitiesin  New York City. The Jay Suites team is  experienced in servicing clients with a variety of rental needs. Some members  include UPS, Marriott, HP, Viacom, P&amp;G, Teva Pharmaceuticals, and Royal  Caribbean. Jay Suites offers all in one pricing,  meaning amenities like professional concierge, VoIP phones, multifunction  copiers, IT services, unlimited  Wi-Fi access and mobile hotspots come at no extra cost to the client. Each location offers several types of private office  spaces such as single person offices, multi-person offices, and team rooms.  Additionally, all locations feature high ceilings, Venetian plaster walls, and  exceptional lighting. Members enjoy flexible terms and a simple  all-inclusive plan accommodating the needs of businesses across the spectrum  from entrepreneurs to financial managers and lawyers. Jay Suites tenants join a  growing community with perks such as exclusive access to our members-only meetups.  With locations throughout midtown and downtown New York City, Jay Suites crafts  packages so that clients can project their company&rsquo;s expenses forward. </p>
  <p>Jay Suites offers private office space in these following  locations: </p>
  <ul>
    <li>30 Broad St Financial  District<strong></strong></li>
    <li>1441 Broadway Midtown <strong></strong></li>
    <li>305 &ndash; 315 Madison Ave Midtown<strong></strong></li>
    <li>31 W 34th St Penn Plaza<strong></strong></li>
    <li>1370 Broadway Midtown<strong></strong></li>
    <li>369 Lexington Ave Midtown</li>
    <li>2 W 46th St Midtown </li>
    <li>15-17 W 38th St  (Opening January 2019) Midtown</li>
</ul>","<p><u>30 Broad Street</u></p>
  <p>Jay Suites at 30 Broad Street is located in the heart of the  Financial District and is just around the corner from the New York Stock  Exchange. This office feels modern and tailored thanks carefully curated furnishings  and a spacious layout. The workspace occupies the 14th floor of 30  Broad Street and is comprised of private offices, multi-person offices, meeting  rooms, and team rooms. <br>
    FiDi  is becoming an increasingly desirable place to both live and work as a lot of  office spaces have been recently converted to apartment buildings. The cobblestone streets surrounding the office are Pedestrian-friendly and many are completely empty of  vehicle traffic.  There are a plethora of hip bars and eateries within a 2-minute walk from the  office, including Bluestone Lane, Bobby Van&rsquo;s, sweetgreen, and Ulysses. Additionally,  the historical and iconic Delmonico&rsquo;s is just right down the street. There are  a number of subway stations within a 10-minute walk or less from the office,  including Bowling Green (4 &amp; 5), Broad St (J &amp; Z), Whitehall St (R  &amp; W), and Wall St (2 3 4 5). </p>
  <p>The location is a fully-serviced office space with  contemporary furnishings. The luxury ground floor lobby is finished with polished  concrete flooring and rich wooden detailing. When tenants enter the Jay Suites  reception area, they are greeted with sleek white and black marble tiling  coupled modern lighting fixtures. Conference rooms enclosed with frosted glass  for privacy and are adorned with glass tables and black ergonomic chairs.  Office spaces have an abundance of windows along with dark wooden desks and  black office chairs. The office features both a kitchenette and kitchen. The  kitchenette is equipped with ample seating and white cabinets with stainless  steel appliances. The kitchen is a spacious area with a large stainless-steel  refrigerator, deep brown wooden cabinets, and white countertops. Additionally,  Jay Suites at 30 Broad Street has a sprawling lounge area with two wall-mounted  flat screen televisions, a pool table, and a ping-pong table. </p>
  <p>Jay Suites offers phone answering, mail forwarding, and  concierge services. The space has a full-service copy center, high-speed internet,  upload and download speeds of 100mbps, and VOIP phones. Complimentary fresh  brewed coffee provided by Starbucks and filtered water is available in the  office. Jay Suites provides clients with IT support, maintenance, and  housekeeping at no extra cost. Jay Suites is constantly holding members-only social  events in order to encourage networking and business development. Clients enjoy  doorman-secured buildings and fingerprint access at all locations.</p>
  <p>Features</p>
  <ul type=""disc"">
    <li>Private Offices<strong></strong></li>
    <li>Single person offices<strong></strong></li>
    <li>Multi-person offices<strong></strong></li>
    <li>Team rooms<strong></strong></li>
    <li>Meeting rooms<strong></strong></li>
    <li>Kitchen, kitchenette and       pantry <strong></strong></li>
    <li>Televisions <strong></strong></li>
    <li>Copy center<strong></strong></li>
    <li>WiFi<strong></strong></li>
    <li>High-speed internet<strong></strong></li>
    <li>VOIP phones <strong></strong></li>
    <li>Complimentary fresh brewed       coffee from Starbucks<strong></strong></li>
    <li>Access to members-only<strong> </strong>social events <strong></strong></li>
    <li>Doorman-secured building</li>
    <li>Fingerprint access</li>
    <li>Receptionist </li>
    <li>IT department </li>
    <li>Housekeeping</li>
    <li>Maintenance </li>
  </ul>",,,,,,,,,
"Jay Suites, Inc.",1441 Broadway,P 3,Office,Sublet,79.20/fs,Fully Furnished Ready…,,,Vacant,Juda Srour (917) 510-7155 ,Negotiable,,Office,Penn Plaza/Garment,New York,NY,Manhattan,"<p><strong>Jay Suites, Inc.</strong></p>
  <p>Jay Suites is a  pioneer of the office space rental market, providingtheir clients with fully-furnished, luxury office  rentals with shared amenitiesin  New York City. The Jay Suites team is  experienced in servicing clients with a variety of rental needs. Some members  include UPS, Marriott, HP, Viacom, P&amp;G, Teva Pharmaceuticals, and Royal  Caribbean. Jay Suites offers all in one pricing,  meaning amenities like professional concierge, VoIP phones, multifunction  copiers, IT services, unlimited  Wi-Fi access and mobile hotspots come at no extra cost to the client. Each location offers several types of private office  spaces such as single person offices, multi-person offices, and team rooms.  Additionally, all locations feature high ceilings, Venetian plaster walls, and  exceptional lighting. Members enjoy flexible terms and a simple  all-inclusive plan accommodating the needs of businesses across the spectrum  from entrepreneurs to financial managers and lawyers. Jay Suites tenants join a  growing community with perks such as exclusive access to our members-only meetups.  With locations throughout midtown and downtown New York City, Jay Suites crafts  packages so that clients can project their company&rsquo;s expenses forward. </p>
  <p>Jay Suites offers private office space in these following  locations: </p>
  <ul>
    <li>30 Broad St Financial  District<strong></strong></li>
    <li>1441 Broadway Midtown <strong></strong></li>
    <li>305 &ndash; 315 Madison Ave Midtown<strong></strong></li>
    <li>31 W 34th St Penn Plaza<strong></strong></li>
    <li>1370 Broadway Midtown<strong></strong></li>
    <li>369 Lexington Ave Midtown</li>
    <li>2 W 46th St Midtown </li>
    <li>15-17 W 38th St  (Opening January 2019) Midtown</li>
</ul>","<p><u>1441 Broadway</u></p>
  <p>Jay Suites at 1441 Broadway is located in the heart of Midtown  and is just steps from Times Square and Bryant Park. This office feels modern  and tailored thanks carefully curated furnishings and spacious floorplans. The  workspace occupies the 3rd, 5th, and 6th floor  of 1441 Broadway and is comprised of private offices, multi-person offices,  meeting rooms, and team rooms. <br>
    This  office located directly next to a Pedestrian mall  with chairs, tables and art exhibitions on the street level. There are a  plethora of hip bars and eateries within a short walk from the office,  including Europa Cafe, The Counter, Paris Baguette, and The Skylark. Additionally,  there are many hotels and shopping centers surrounding the office. Penn Station  and Port Authority are within a short walking distance from the office. There  are a number of subway stations within a 10-minute walk or less from the  office, including Times Square &ndash; 42nd St (N Q R W, 7 &amp; 1 2 3), 42nd  St &ndash; Bryant Park (D &amp; F), and 42nd St &ndash; Port Authority (A C E).<br> 
    <br>
    The location is a fully-serviced office space with  contemporary furnishings. Walking into the building, guests are greeted with a luxury  art deco ground floor lobby and is finished with marble walls and gold detailing.  Jay Suites reception areas are sleek with modern furnishings and plenty of  seating. Conference rooms enclosed in glass, making the space feel larger.  Office spaces have an abundance of windows along with dark wooden desks and  black ergonomic office chairs. The office features multiple kitchens/pantries.  Kitchenettes are equipped with ample seating and stainless-steel appliances.  Jay Suites at 1441 Broadway features many lounges in addition to a sprawling members  lounge area.</p>
  <p>Jay Suites offers phone answering, mail forwarding, and  concierge services. The space has a full-service copy center, high-speed internet,  upload and download speeds of 100mbps, and VOIP phones. Complimentary fresh  brewed coffee provided by Starbucks and filtered water is available in the  office. Jay Suites provides clients with IT support, maintenance, and  housekeeping at no extra cost. Jay Suites is constantly holding members-only  social events in order to encourage networking and business development. Clients  enjoy doorman-secured buildings and fingerprint access at all locations. </p>
  <p>Features</p>
  <ul type=""disc"">
    <li>Private Offices<strong></strong></li>
    <li>Single person offices<strong></strong></li>
    <li>Multi-person offices<strong></strong></li>
    <li>Team rooms<strong></strong></li>
    <li>Meeting rooms<strong></strong></li>
    <li>Kitchenettes/pantry <strong></strong></li>
    <li>Televisions <strong></strong></li>
    <li>Copy center<strong></strong></li>
    <li>WiFi<strong></strong></li>
    <li>High-speed internet<strong></strong></li>
    <li>VOIP phones <strong></strong></li>
    <li>Complimentary fresh brewed       coffee from Starbucks<strong></strong></li>
    <li>Access to members-only<strong> </strong>social events <strong></strong></li>
    <li>Doorman-secured building</li>
    <li>Fingerprint access</li>
    <li>Receptionist </li>
    <li>IT department </li>
    <li>Housekeeping</li>
    <li>Maintenance</li>
  </ul>",,,,,,,,,
"Jay Suites, Inc.",305-315 Madison Ave,P 3,Office,Direct,112.00/negot,"$1,400/month Private…",,,Vacant,Juda Srour (917) 510-7155 ,Negotiable,,Office,Grand Central,New York,NY,Manhattan,"<p><strong>Jay Suites, Inc.</strong></p>
  <p>Jay Suites is a  pioneer of the office space rental market, providingtheir clients with fully-furnished, luxury office  rentals with shared amenitiesin  New York City. The Jay Suites team is  experienced in servicing clients with a variety of rental needs. Some members  include UPS, Marriott, HP, Viacom, P&amp;G, Teva Pharmaceuticals, and Royal  Caribbean. Jay Suites offers all in one pricing,  meaning amenities like professional concierge, VoIP phones, multifunction  copiers, IT services, unlimited  Wi-Fi access and mobile hotspots come at no extra cost to the client. Each location offers several types of private office  spaces such as single person offices, multi-person offices, and team rooms.  Additionally, all locations feature high ceilings, Venetian plaster walls, and  exceptional lighting. Members enjoy flexible terms and a simple  all-inclusive plan accommodating the needs of businesses across the spectrum  from entrepreneurs to financial managers and lawyers. Jay Suites tenants join a  growing community with perks such as exclusive access to our members-only meetups.  With locations throughout midtown and downtown New York City, Jay Suites crafts  packages so that clients can project their company&rsquo;s expenses forward. </p>
  <p>Jay Suites offers private office space in these following  locations: </p>
  <ul>
    <li>30 Broad St Financial  District<strong></strong></li>
    <li>1441 Broadway Midtown <strong></strong></li>
    <li>305 &ndash; 315 Madison Ave Midtown<strong></strong></li>
    <li>31 W 34th St Penn Plaza<strong></strong></li>
    <li>1370 Broadway Midtown<strong></strong></li>
    <li>369 Lexington Ave Midtown</li>
    <li>2 W 46th St Midtown </li>
    <li>15-17 W 38th St  (Opening January 2019) Midtown</li>
</ul>","<p>305 &ndash; 315 Madison Ave</p>
  <p>Jay Suites at 305-315 Madison Ave is located in the heart of  Midtown and is just steps from Grand Central Terminal. This office feels modern  and tailored thanks carefully curated furnishings and spacious floorplans. The  workspace occupies the 3rd and 4th floor of 305-315  Madison Ave and is comprised of private offices, multi-person offices, meeting  rooms, and team rooms. <br>
    This  office located directly next to a Pedestrian mall  with chairs, tables and art exhibitions on the street level. There are a  plethora of hip bars and eateries within a short walk from the office,  including 2beans, Bookmarks, Dig Inn, and Benjamins. Additionally, there are  many hotels and shopping centers surrounding the office. The Office is right  across the street from Grand Central Terminal, providing access to Metro North'  commuter railroad. The office is a short walk from 42nd  St &ndash; Bryant Park (D &amp; F), and Grand Central &ndash; 42nd ST (4 5 6 7  &amp; S). <br>
    The location is a fully-serviced office space with  contemporary furnishings. Walking into the building, guests are greeted with a  luxury ground floor lobby. The Jay Suites reception area is sleek with white  tile flooring and dark wooden accents. Conference rooms enclosed in glass,  keeping the space airy. Office spaces are adorned with glass desks and black  ergonomic office chairs. The office features a sleek kitchen/pantry with  stainless steel appliances and plenty of seating.</p>
  <p>Jay Suites offers phone answering, mail forwarding, and  concierge services. The space has a full-service copy center, high-speed internet,  upload and download speeds of 100mbps, and VOIP phones. Complimentary fresh  brewed coffee provided by Starbucks and filtered water is available in the  office. Jay Suites provides clients with IT support, maintenance, and  housekeeping at no extra cost. Jay Suites is constantly holding members-only  social events in order to encourage networking and business development. Clients  enjoy doorman-secured buildings and fingerprint access at all locations. </p>
  <p>Features</p>
  <ul type=""disc"">
    <li>Private Offices<strong></strong></li>
    <li>Single person offices<strong></strong></li>
    <li>Multi-person offices<strong></strong></li>
    <li>Team rooms<strong></strong></li>
    <li>Meeting rooms<strong></strong></li>
    <li>Kitchen and pantry <strong></strong></li>
    <li>Televisions <strong></strong></li>
    <li>Copy center<strong></strong></li>
    <li>WiFi<strong></strong></li>
    <li>High-speed internet<strong></strong></li>
    <li>VOIP phones <strong></strong></li>
    <li>Complimentary fresh brewed       coffee from Starbucks<strong></strong></li>
    <li>Access to members-only<strong> </strong>social events <strong></strong></li>
    <li>Doorman-secured building</li>
    <li>Fingerprint access</li>
    <li>Receptionist </li>
    <li>IT department </li>
    <li>Housekeeping</li>
    <li>Maintenance </li>
  </ul>",,,,,,,,,
"Jay Suites, Inc.",31 W 34th St,P 7,Office,Sublet,Withheld,Private offices from $8…,,,Vacant,Juda Srour (917) 510-7155 ,Negotiable,,Office,Penn Plaza/Garment,New York,NY,Manhattan,"<p><strong>Jay Suites, Inc.</strong></p>
  <p>Jay Suites is a  pioneer of the office space rental market, providingtheir clients with fully-furnished, luxury office  rentals with shared amenitiesin  New York City. The Jay Suites team is  experienced in servicing clients with a variety of rental needs. Some members  include UPS, Marriott, HP, Viacom, P&amp;G, Teva Pharmaceuticals, and Royal  Caribbean. Jay Suites offers all in one pricing,  meaning amenities like professional concierge, VoIP phones, multifunction  copiers, IT services, unlimited  Wi-Fi access and mobile hotspots come at no extra cost to the client. Each location offers several types of private office  spaces such as single person offices, multi-person offices, and team rooms.  Additionally, all locations feature high ceilings, Venetian plaster walls, and  exceptional lighting. Members enjoy flexible terms and a simple  all-inclusive plan accommodating the needs of businesses across the spectrum  from entrepreneurs to financial managers and lawyers. Jay Suites tenants join a  growing community with perks such as exclusive access to our members-only meetups.  With locations throughout midtown and downtown New York City, Jay Suites crafts  packages so that clients can project their company&rsquo;s expenses forward. </p>
  <p>Jay Suites offers private office space in these following  locations: </p>
  <ul>
    <li>30 Broad St Financial  District<strong></strong></li>
    <li>1441 Broadway Midtown <strong></strong></li>
    <li>305 &ndash; 315 Madison Ave Midtown<strong></strong></li>
    <li>31 W 34th St Penn Plaza<strong></strong></li>
    <li>1370 Broadway Midtown<strong></strong></li>
    <li>369 Lexington Ave Midtown</li>
    <li>2 W 46th St Midtown </li>
    <li>15-17 W 38th St  (Opening January 2019) Midtown</li>
</ul>","<p>31 West 34th Street</p>
  <p>Jay Suites at 31 West 34th Street is located in the  heart of Midtown and is just steps from The Empire State Building. This office  feels modern and tailored thanks carefully curated furnishings and spacious  floorplans. The workspace occupies the 7th and 8th floor  of the 11-story building and is comprised of private offices, multi-person  offices, meeting rooms, and team rooms. <br>
    There  are a plethora of hip bars and eateries within a short walk from the office. Additionally,  there are many hotels and shopping centers surrounding the office. Penn Station  is within a short walking distance from the office and there are a number of  subway stations within a 10-minute walk or less from the office, including 34st  &ndash; Herald Square (N Q R W &amp; D F), 34th &ndash; Penn Station (1 2  3), and 33rd St (4 &amp; 6). <br>
    <br>
    The location is a fully-serviced office space with  contemporary furnishings. Walking into the building, guests are greeted with a  luxury ground floor lobby finished with white marble walls. The Jay Suites  reception areas are sleek with modern furnishings and plenty of seating. Conference  rooms enclosed in glass, making the space feel larger. Office spaces have an  abundance of windows along with dark wooden desks and black ergonomic office  chairs. The office features two kitchens equipped with ample seating and  stainless-steel appliances. There is fully furnished 2,000 SF outdoor terrace  located off of the 7th floor, complete with an unbeatable view of  The Empire State Building.</p>
  <p>Jay Suites offers phone answering, mail forwarding, and  concierge services. The space has a full-service copy center, high-speed internet,  upload and download speeds of 100mbps, and VOIP phones. Complimentary fresh  brewed coffee provided by Starbucks and filtered water is available in the  office. Jay Suites provides clients with IT support, maintenance, and  housekeeping at no extra cost. Jay Suites is constantly holding members-only  social events in order to encourage networking and business development. Clients  enjoy doorman-secured buildings and fingerprint access at all locations.</p>
  <p>Features</p>
  <ul type=""disc"">
    <li>Private Offices<strong></strong></li>
    <li>Single person offices<strong></strong></li>
    <li>Multi-person offices<strong></strong></li>
    <li>Team rooms<strong></strong></li>
    <li>Meeting rooms<strong></strong></li>
    <li>Outdoor terrace<strong></strong></li>
    <li>Kitchen and pantry <strong></strong></li>
    <li>Televisions <strong></strong></li>
    <li>Copy center<strong></strong></li>
    <li>WiFi<strong></strong></li>
    <li>High-speed internet<strong></strong></li>
    <li>VOIP phones <strong></strong></li>
    <li>Complimentary fresh brewed       coffee from Starbucks<strong></strong></li>
    <li>Access to members-only<strong> </strong>social events <strong></strong></li>
    <li>Doorman-secured building</li>
    <li>Fingerprint access</li>
    <li>Receptionist </li>
    <li>IT department </li>
    <li>Housekeeping</li>
    <li>Maintenance</li>
  </ul>",,,,,,,,,
"Jay Suites, Inc.",15-17 W 38th St,P 2,Office,New,Withheld,,Full Build-Out,Excellent,Vacant,Juda Srour (917) 510-7155 ,1-15 yrs,,Office,Penn Plaza/Garment,New York,NY,Manhattan,"<p><strong>Jay Suites, Inc.</strong></p>
  <p>Jay Suites is a  pioneer of the office space rental market, providingtheir clients with fully-furnished, luxury office  rentals with shared amenitiesin  New York City. The Jay Suites team is  experienced in servicing clients with a variety of rental needs. Some members  include UPS, Marriott, HP, Viacom, P&amp;G, Teva Pharmaceuticals, and Royal  Caribbean. Jay Suites offers all in one pricing,  meaning amenities like professional concierge, VoIP phones, multifunction  copiers, IT services, unlimited  Wi-Fi access and mobile hotspots come at no extra cost to the client. Each location offers several types of private office  spaces such as single person offices, multi-person offices, and team rooms.  Additionally, all locations feature high ceilings, Venetian plaster walls, and  exceptional lighting. Members enjoy flexible terms and a simple  all-inclusive plan accommodating the needs of businesses across the spectrum  from entrepreneurs to financial managers and lawyers. Jay Suites tenants join a  growing community with perks such as exclusive access to our members-only meetups.  With locations throughout midtown and downtown New York City, Jay Suites crafts  packages so that clients can project their company&rsquo;s expenses forward. </p>
  <p>Jay Suites offers private office space in these following  locations: </p>
  <ul>
    <li>30 Broad St Financial  District<strong></strong></li>
    <li>1441 Broadway Midtown <strong></strong></li>
    <li>305 &ndash; 315 Madison Ave Midtown<strong></strong></li>
    <li>31 W 34th St Penn Plaza<strong></strong></li>
    <li>1370 Broadway Midtown<strong></strong></li>
    <li>369 Lexington Ave Midtown</li>
    <li>2 W 46th St Midtown </li>
    <li>15-17 W 38th St  (Opening January 2019) Midtown</li>
</ul>",,,,,,,,,,
"Jay Suites, Inc.",1370 Broadway,P 5,Office,Sublet,Withheld,Private offices from $8…,Full Build-Out,,30 Days,Jack Srour (212) 380-7730 ,Negotiable,,Office,Penn Plaza/Garment,New York,NY,Manhattan,"<p><strong>Jay Suites, Inc.</strong></p>
  <p>Jay Suites is a  pioneer of the office space rental market, providingtheir clients with fully-furnished, luxury office  rentals with shared amenitiesin  New York City. The Jay Suites team is  experienced in servicing clients with a variety of rental needs. Some members  include UPS, Marriott, HP, Viacom, P&amp;G, Teva Pharmaceuticals, and Royal  Caribbean. Jay Suites offers all in one pricing,  meaning amenities like professional concierge, VoIP phones, multifunction  copiers, IT services, unlimited  Wi-Fi access and mobile hotspots come at no extra cost to the client. Each location offers several types of private office  spaces such as single person offices, multi-person offices, and team rooms.  Additionally, all locations feature high ceilings, Venetian plaster walls, and  exceptional lighting. Members enjoy flexible terms and a simple  all-inclusive plan accommodating the needs of businesses across the spectrum  from entrepreneurs to financial managers and lawyers. Jay Suites tenants join a  growing community with perks such as exclusive access to our members-only meetups.  With locations throughout midtown and downtown New York City, Jay Suites crafts  packages so that clients can project their company&rsquo;s expenses forward. </p>
  <p>Jay Suites offers private office space in these following  locations: </p>
  <ul>
    <li>30 Broad St Financial  District<strong></strong></li>
    <li>1441 Broadway Midtown <strong></strong></li>
    <li>305 &ndash; 315 Madison Ave Midtown<strong></strong></li>
    <li>31 W 34th St Penn Plaza<strong></strong></li>
    <li>1370 Broadway Midtown<strong></strong></li>
    <li>369 Lexington Ave Midtown</li>
    <li>2 W 46th St Midtown </li>
    <li>15-17 W 38th St  (Opening January 2019) Midtown</li>
</ul>","<p>1370 Broadway</p>
  <p>Jay Suites at 1370 Broadway is located in the heart of  Midtown and is just steps from Penn Station and Bryant Park. This office feels  modern and tailored thanks carefully curated furnishings and spacious  floorplans. The workspace occupies the 5th floor of the Class A  office building and is comprised of private offices, multi-person offices,  meeting rooms, and team rooms. <br>
    There  are a plethora of hip bars and eateries within a short walk from the office,  including Culture Espresso, Top of the Strand, Refinery Rooftop, and Ai Fiori. Additionally,  there are many hotels and shopping centers surrounding the office. The office  is just minutes from the major transportation hub Penn Station and subway stops 34th St &ndash; Herald Square (N Q R  W &amp; D F) and 34th St &ndash; Penn Station (1 2 3). <br>
    The location is a fully-serviced office space with  contemporary furnishings. Walking into the building, guests are greeted with a newly-renovated,  polished marble lobby. The Jay Suites reception area is modern with black  furniture and unique lighting fixtures. Conference rooms are enclosed in glass,  keeping the space airy. Office spaces have dark wooden desks and black  ergonomic office chairs. The office features a kitchen/pantry furnished with  stainless steel appliances and plenty of seating. </p>
  <p>Jay Suites offers phone answering, mail forwarding, and  concierge services. The space has a full-service copy center, high-speed internet,  upload and download speeds of 100mbps, and VOIP phones. Complimentary fresh  brewed coffee provided by Starbucks and filtered water is available in the office.  Jay Suites provides clients with IT support, maintenance, and housekeeping at  no extra cost. Jay Suites is constantly holding members-only social events in  order to encourage networking and business development. Clients enjoy  doorman-secured buildings and fingerprint access at all locations. </p>
  <p>Features</p>
  <ul type=""disc"">
    <li>Private Offices<strong></strong></li>
    <li>Single person offices<strong></strong></li>
    <li>Multi-person offices<strong></strong></li>
    <li>Team rooms<strong></strong></li>
    <li>Meeting rooms<strong></strong></li>
    <li>Kitchen and pantry <strong></strong></li>
    <li>Televisions <strong></strong></li>
    <li>Copy center<strong></strong></li>
    <li>WiFi<strong></strong></li>
    <li>High-speed internet<strong></strong></li>
    <li>VOIP phones <strong></strong></li>
    <li>Complimentary fresh brewed       coffee from Starbucks<strong></strong></li>
    <li>Access to members-only<strong> </strong>social events <strong></strong></li>
    <li>Doorman-secured building</li>
    <li>Fingerprint access</li>
    <li>Receptionist </li>
    <li>IT department </li>
    <li>Housekeeping</li>
    <li>Maintenance </li>
  </ul>",,,,,,,,,
JLL,One World Trade Center,E 36,Office,Sublet,Withheld,Floors: 36-42 Total Av…,,Average,Arranged,Brett Harvey (212) 271-6400 ,Negotiable,,Office,World Trade Center,New York,NY,Manhattan,,,,,,,,,,,
JLL,60 E 42nd St,P 31,Office,Sublet,Withheld,Shared space with a fi…,,,Vacant,Scott R Vinett (212) 812-5898 ,Thru Jan 2019,3120,Office,Grand Central,New York,NY,Manhattan,,,,,,,,,,,
